Team,Payroll,Abbr
N.Y. Mets ,353546854,NYM
N.Y. Yankees,276999872,NYY
San Diego ,248995932,SD
Philadelphia ,243009439,PHI
L.A. Dodgers ,222717834,LAD
L.A. Angels ,212228096,LAA
Toronto ,209938983,TOR
Atlanta ,203077500,ATL
Texas ,195869490,TEX
Houston ,192667233,HOU
San Francisco ,187932500,SF
Chicago Cubs ,184219250,CHC
Boston ,181207484,BOS
Chicago White Sox ,181158666,CWS
St. Louis ,175637308,STL
Colorado ,171108778,COL
Minnesota ,153588740,MIN
Seattle ,137119947,SEA
Detroit ,122235500,DET
Milwaukee ,118761987,MIL
Arizona ,116471292,AZ
Washington ,101190153,WSH
Kansas City ,92468100,KC
Miami ,91700000,MIA
Cleveland ,89424629,CLE
Cincinnati ,83610000,CIN
Pittsburgh ,73277500,PIT
Tampa Bay ,73184811,TB
Baltimore ,60722300,BAL
Oakland ,56895000,OAK
